1000,0.017
1000,0.022
1000,0.014
1000,0.016
1000,0.018
1000,0.022
1000,0.03
1000,0.018
1000,0.016
1000,0.023
10000,0.33
10000,0.278
10000,0.258
10000,0.245
10000,0.333
10000,0.267
10000,0.305
10000,0.489
10000,0.206
10000,0.47
100000,3.973
100000,2.646
100000,3.461
100000,4.191
100000,7.875
100000,
100000,6.749
100000,3.987
100000,4.429
100000,4.983
5000,0.089
5000,0.081
5000,0.116
5000,0.134
5000,0.076
5000,0.129
5000,0.163
5000,0.105
5000,0.141
5000,0.164
50000,1.788
50000,2.613
50000,1.048
50000,1.457
50000,1.187
50000,1.339
50000,2.599
50000,1.573
50000,3.364
50000,1.937
