1000,0.002
1000,0.001
1000,0.001
1000,0.002
1000,0.003
1000,0.002
1000,0.003
1000,0.001
1000,0.002
1000,0.001
10000,0.023
10000,0.022
10000,0.026
10000,0.022
10000,0.024
10000,0.024
10000,0.031
10000,0.029
10000,0.027
10000,0.026
100000,0.396
100000,0.377
100000,0.368
100000,0.388
100000,0.366
100000,0.381
100000,0.4
100000,0.393
100000,0.371
100000,0.408
5000,0.009
5000,0.011
5000,0.01
5000,0.011
5000,0.01
5000,0.012
5000,0.011
5000,0.01
5000,0.011
5000,0.01
50000,0.165
50000,0.166
50000,0.167
50000,0.159
50000,0.176
50000,0.167
50000,0.163
50000,0.18
50000,0.167
50000,0.165
500000,2.508
500000,2.514
500000,2.443
500000,2.524
500000,2.815
500000,2.666
500000,2.497
500000,2.608
500000,2.59
500000,2.555
