1000,0.0031
1000,0.0019
1000,0.0022
1000,0.0031
1000,0.0031
1000,0.0016
1000,0.0031
1000,0.0023
1000,0.0048
1000,0.0031
10000,0.0401
10000,0.0385
10000,0.0346
10000,0.0379
10000,0.0415
10000,0.0368
10000,0.0385
10000,0.0379
10000,0.0369
10000,0.037
100000,0.4885
100000,0.4712
100000,0.4651
100000,0.4835
100000,0.4621
100000,0.4727
100000,0.4606
100000,0.455
100000,0.4597
100000,0.809
5000,0.0257
5000,0.0264
5000,0.0185
5000,0.0216
5000,0.0184
5000,0.0252
5000,0.0169
5000,0.02
5000,0.0222
5000,0.02
50000,0.2553
50000,0.2103
50000,0.2592
50000,0.2688
50000,0.2197
50000,0.2447
50000,0.2069
50000,0.2202
50000,0.2329
50000,0.2133
500000,2.8845
500000,2.9375
500000,4.0958
500000,4.0824
500000,3.9677
500000,4.6258
500000,3.6018
500000,3.7684
500000,3.7778
500000,3.535
